World Rank,Institution,Country,Nat. Rank,Alumni,Award,HiCi,N&S,PUB,PCP,Total Score
1,Harvard University,U.S.,1,100,100,100,100,100,75.3,100
2,Stanford University,U.S.,2,41.8,82.8,79.8,71.1,70.9,51.9,72.1
3,Massachusetts Institute of Technology (MIT),U.S.,3,68.4,80.7,60.6,73.6,61.5,67.1,70.5
4,University of California-Berkeley,U.S.,4,66.8,79.4,65.3,67.5,68.1,55.9,70.1
5,University of Cambridge,U.K.,1,79.1,96.6,50.8,56.2,66.5,55.2,69.2
6,Princeton University,U.S.,5,52.1,88.5,57.1,46.2,44.2,68.1,60.7
7,California Institute of Technology,U.S.,6,48.5,66.7,49.3,60,44.9,100,60.5
8,Columbia University,U.S.,7,65.1,65.9,51.6,55,69.1,33.1,59.6
9,University of Chicago,U.S.,8,61.4,86.3,48.4,43,50.7,41.5,57.4
9,University of Oxford,U.K.,2,51,54.9,52.8,52.7,72.7,43,57.4
11,Yale University,U.S.,9,48.8,50.4,51,61.5,62.9,37.7,55.2
12,"University of California, Los Angeles",U.S.,10,30.2,47.1,52.8,50.9,71.3,31.7,51.9
13,Cornell University,U.S.,11,37.6,49.8,50.4,46.9,61,39.7,50.6
14,"University of California, San Diego",U.S.,12,19.7,35.5,56.1,55.7,65,36.5,49.3
15,University of Washington,U.S.,13,21.7,31.6,53,53.1,71.6,29,48.1
16,University of Pennsylvania,U.S.,14,32.4,33.8,49.6,44.6,66.9,37.3,47.1
17,The Johns Hopkins University,U.S.,15,38.7,33.6,44,47.8,70.2,28.7,47
18,"University of California, San Francisco",U.S.,16,0,39.9,46.8,56.5,59.9,34.9,45.2
19,Swiss Federal Institute of Technology Zurich,Switzerland,1,30.2,35.5,38.4,46.7,55.6,45.8,43.9
20,University College London,U.K.,3,28.8,29.5,39.2,40.7,71.6,31.5,43.3
21,The University of Tokyo,Japan,1,31.6,14.1,40.6,52.6,73,29.2,43.2
22,"The Imperial College of Science, Technology and Medicine",U.K.,4,14.9,35.8,43.7,38,62.5,38,42.3
22,University of Michigan-Ann Arbor,U.S.,17,35.3,0,56.2,42.4,77.3,25.6,42.3
24,University of Toronto,Canada,1,20.4,17.2,38.8,42.2,80.5,29.6,41.8
24,University of Wisconsin - Madison,U.S.,18,31.6,34.8,40.2,37.4,63.2,24.5,41.8
26,Kyoto University,Japan,2,30.2,37.2,34.4,35,61.2,23.8,39.9
27,New York University,U.S.,19,28.8,31.9,36.1,42.4,56.6,23.4,39.6
28,Northwestern University,U.S.,20,15.8,22.1,50.3,39.5,58.2,28.7,39.4
28,University of Illinois at Urbana-Champaign,U.S.,20,30.7,36.2,35.8,36,54.4,28.5,39.4
30,"University of Minnesota, Twin Cities",U.S.,22,30.2,16.3,47.3,34.5,65.1,26.2,39.3
31,Duke University,U.S.,23,15.8,14.9,50.2,40.6,61.9,23.7,38.4
32,Washington University in St. Louis,U.S.,24,19,24.9,40.7,44.2,52.1,26.1,37.8
33,Rockefeller University,U.S.,25,17.5,59.8,30.3,44.2,20.8,38.9,37.6
34,University of Colorado at Boulder,U.S.,26,12.9,34.1,37.1,40.1,46.1,34.8,37.2
35,Pierre and Marie  Curie University - Paris 6,France,1,34.5,27.4,25.8,30.2,60,23.8,35.4
36,University of North Carolina at Chapel Hill,U.S.,27,9.1,16.3,40.4,36.3,61.1,25.6,35.2
37,University of British Columbia,Canada,2,15.8,18.8,34.2,34,63.9,24.4,35.1
38,The University of Manchester,U.K.,5,19,32.6,28,28.2,57.8,25.9,34.7
39,The University of Texas at Austin,U.S.,28,16.6,16.3,38.6,36.3,55.7,26,34.5
39,University of Copenhagen,Denmark,1,22.3,18.8,27.1,32,61.1,36.2,34.5
41,"University of California, Santa Barbara",U.S.,29,14.9,35.1,38.7,28.8,38.6,36.9,34.3
42,University of Paris Sud (Paris 11),France,2,31.1,54.3,16.8,18.5,48.4,26.5,34.2
43,"University of Maryland, College Park",U.S.,30,19.7,20,31.9,32.5,52.5,26,32.7
44,The University of Melbourne,Australia,1,17.5,13.3,29.3,26.7,65.9,29.7,32.6
45,The University of Edinburgh,U.K.,6,21.1,24.9,25.8,32.5,51.8,25.8,32.5
45,The University of Texas Southwestern Medical Center at Dallas,U.S.,31,19,34.5,30.3,37.2,35.8,22.2,32.5
47,Karolinska Institute,Sweden,1,22.9,26.6,24.8,22.4,51.8,37,31.9
47,"University of California, Irvine",U.S.,32,0,29.3,35,31.5,46,27.8,31.9
49,Heidelberg University,Germany,1,13.9,25.3,23.7,27.5,52.2,32.2,31.1
49,University of Munich,Germany,1,26.3,19.1,20.3,31.7,51.3,32.1,31.1
51,University of Southern California,U.S.,33,0,31.7,34.8,22.8,52.3,19.7,31
52,"Rutgers, The State University of New Jersey - New Brunswick",U.S.,34,10.5,18.8,34.5,30.1,49.8,24.5,30.9
53,Technical University Munich,Germany,3,35.7,21.6,22.3,23.7,48.6,31.2,30.7
54,Vanderbilt University,U.S.,35,15.8,29,28.4,22.8,51.5,18.9,30.6
55,"University of California, Davis",U.S.,36,0,0,41,35.1,59.3,26.1,30.4
56,University of Zurich,Switzerland,2,5.3,24,27.1,29.3,52.1,25.1,30.3
57,Utrecht University,Netherlands,1,23.5,20,30,24.6,47.7,27,30.2
58,Pennsylvania State University - University Park,U.S.,37,10.5,0,42.3,33,54.7,22.6,30
59,King's College London,U.K.,7,21.7,21,27.6,19.3,53.7,24.9,29.7
60,Purdue University - West Lafayette,U.S.,38,13.9,23.1,27.7,25.8,49.5,22.2,29.5
60,Uppsala University,Sweden,2,18.2,27.4,18.4,25.8,49.5,26.7,29.5
62,Carnegie Mellon University,U.S.,39,32.4,31.6,28.6,15.6,34.4,34,29.4
63,University of Bristol,U.K.,8,7.4,16.3,25.7,34.2,46.3,29.5,28.9
64,The Ohio State University - Columbus,U.S.,40,12.9,0,38.3,25.5,60.6,18.8,28.7
65,University of Pittsburgh-Pittsburgh Campus,U.S.,41,19,0,39.8,19.2,61.9,18.5,28.6
66,University of Geneva,Switzerland,3,22.3,28.2,18.9,29,37.8,28.3,28.5
67,Ecole Normale Superieure - Paris,France,3,50.2,28,11.2,16.8,26.8,59.8,28.3
67,McGill University,Canada,3,31.1,0,22.8,27.1,59.4,26.2,28.3
69,University of Oslo,Norway,1,18.2,32.6,15.9,16.5,50,25.9,28.1
70,Ghent University,Belgium,1,5.3,13.3,26.9,19.6,57.1,33.9,28
70,The Hebrew University of Jerusalem,Israel,1,32.9,28.2,19.6,21.3,37.2,27.8,28
72,Boston University,U.S.,42,11.8,11.5,29.9,27,50.3,21.9,27.8
73,University of Helsinki,Finland,1,12.9,16.3,24.2,20,52.3,29.6,27.5
74,Aarhus University,Denmark,2,11.8,22.1,12.3,26.7,51.9,29.8,27.4
74,Brown University,U.S.,43,14.9,13.3,26.2,26.7,43.6,32.6,27.4
74,The Australian National University,Australia,2,13.9,19.2,24.8,22.8,45.1,29.1,27.4
77,Leiden University,Netherlands,2,18.2,9.4,25.7,23.7,48.4,33.3,27.3
78,Osaka University,Japan,3,9.1,0,30.9,29.9,54.4,22.3,26.8
78,Stockholm University,Sweden,3,24.7,27.4,18.1,20.3,39.9,25.3,26.8
78,Technion-Israel Institute of Technology,Israel,2,24.1,37.6,15.2,19.1,33.3,27.1,26.8
78,University of Florida,U.S.,44,17.5,0,30.9,22,60.4,17.5,26.8
82,Rice University,U.S.,45,16.6,21.7,28.1,24.6,30,34.6,26.7
82,University of Groningen,Netherlands,3,0,18.8,23,19.9,52.6,32,26.7
84,Moscow State University,Russia,1,42.4,33,0,9.7,47.9,30.7,26.1
85,The University of Queensland,Australia,3,12.9,0,22,21.7,61.4,27.8,25.7
86,University of Arizona,U.S.,46,14.9,0,27.2,30.7,48.4,20.5,25.4
87,University of Utah,U.S.,47,0,11.5,26.5,27.2,47.3,18.7,25
88,Arizona State University,U.S.,48,0,20,22.2,27.3,42.5,19.1,24.9
88,The University of Western Australia,Australia,4,13.9,14.1,22.9,15.3,47.9,28.4,24.9
90,McMaster University,Canada,4,12.9,18.8,23.2,15.5,45.7,22.6,24.8
90,University of Basel,Switzerland,4,19.7,16.3,17.4,20.8,39.4,34.4,24.8
90,University of Rochester,U.S.,49,25.2,7.7,25.2,24,40.7,21.5,24.8
93,"University of California, Santa Cruz",U.S.,50,0,0,37.9,34.3,29.4,37.3,24.7
94,University of Bonn,Germany,4,15.8,19.8,17.4,21.9,40.5,25.2,24.6
95,University of Strasbourg,France,4,25.8,28.8,13.9,17.7,35.5,21.2,24.5
96,KU Leuven,Belgium,2,0,0,29.5,19.1,54.9,29.1,24.2
96,Swiss Federal Institute of Technology Lausanne,Switzerland,5,0,0,26.1,29.5,43.3,38.6,24.2
96,Texas A & M University,U.S.,51,0,0,34.3,23.2,50.2,20.8,24.2
99,Georgia Institute of Technology,U.S.,52,12.9,0,31,22.2,43.9,28,24.1
100,VU University Amsterdam,Netherlands,4,0,0,27.8,17.5,55.3,32.6,24